Timestamp,RTU_1 EconoStatus
03-Jan-19 10:15:19 pm,OffAmb
03-Jan-19 10:42:38 pm,Enabled
06-Jan-19 02:03:19 am,Enabled
06-Jan-19 02:03:37 am,Enabled
06-Jan-19 02:03:42 am,Enabled
06-Jan-19 02:03:43 am,Enabled
09-Jan-19 09:59:26 pm,OffAmb
09-Jan-19 10:24:43 pm,Enabled
10-Jan-19 09:16:24 pm,OffAmb
10-Jan-19 09:37:52 pm,Enabled
22-Jan-19 10:08:34 pm,OffAmb
22-Jan-19 10:13:43 pm,Enabled
02-Mar-19 05:47:14 pm,Enabled
04-Mar-19 05:52:39 pm,Enabled
13-Mar-19 05:54:33 pm,Enabled
14-Mar-19 07:15:02 pm,Enabled
16-Mar-19 02:14:47 pm,OffAmb
16-Mar-19 04:53:29 pm,Enabled
17-Mar-19 01:10:39 pm,OffAmb
17-Mar-19 05:42:05 pm,Enabled
18-Mar-19 01:12:30 pm,OffAmb
18-Mar-19 07:01:44 pm,Enabled
19-Mar-19 10:58:07 am,OffAmb
19-Mar-19 08:24:35 pm,Enabled
20-Mar-19 11:59:57 am,OffAmb
20-Mar-19 08:36:41 pm,Enabled
21-Mar-19 08:37:06 pm,OffAmb
21-Mar-19 08:52:21 pm,Enabled
23-Mar-19 01:28:38 pm,OffAmb
23-Mar-19 05:04:36 pm,Enabled
30-Mar-19 12:41:51 pm,OffAmb
30-Mar-19 06:57:23 pm,Enabled
31-Mar-19 12:21:27 pm,OffAmb
31-Mar-19 06:14:53 pm,Enabled
01-Apr-19 03:38:30 pm,OffAmb
01-Apr-19 04:03:32 pm,Enabled
01-Apr-19 04:57:10 pm,OffAmb
01-Apr-19 05:08:59 pm,Enabled
01-Apr-19 08:36:25 pm,OffAmb
01-Apr-19 08:55:21 pm,Enabled
02-Apr-19 01:09:37 pm,OffAmb
02-Apr-19 01:10:32 pm,Enabled
02-Apr-19 01:14:46 pm,OffAmb
02-Apr-19 02:19:34 pm,Enabled
02-Apr-19 02:49:21 pm,OffAmb
02-Apr-19 03:04:57 pm,Enabled
03-Apr-19 10:57:34 am,OffAmb
03-Apr-19 11:08:07 am,Enabled
03-Apr-19 06:40:43 pm,OffAmb
03-Apr-19 06:59:56 pm,Enabled
05-Apr-19 10:45:16 am,OffAmb
05-Apr-19 01:32:29 pm,Enabled
08-Apr-19 01:38:58 pm,OffAmb
08-Apr-19 05:54:07 pm,Enabled
09-Apr-19 02:05:55 pm,OffAmb
09-Apr-19 02:14:12 pm,Enabled
11-Apr-19 12:18:24 am,Enabled
11-Apr-19 08:39:04 pm,OffAmb
11-Apr-19 09:24:29 pm,Enabled
12-Apr-19 12:00:14 am,OffAmb
12-Apr-19 12:32:22 am,Enabled
16-Apr-19 10:21:13 pm,OffAmb
16-Apr-19 10:48:34 pm,Enabled
16-Apr-19 11:28:41 pm,OffAmb
16-Apr-19 11:53:37 pm,Enabled
17-Apr-19 05:21:55 am,OffAmb
17-Apr-19 05:36:39 am,Enabled
17-Apr-19 02:07:00 pm,OffAmb
17-Apr-19 04:02:58 pm,Enabled
17-Apr-19 06:10:59 pm,OffAmb
17-Apr-19 09:04:36 pm,Enabled
17-Apr-19 10:17:18 pm,OffAmb
17-Apr-19 11:06:31 pm,Enabled
18-Apr-19 10:36:00 am,OffAmb
19-Apr-19 02:31:29 pm,Enabled
20-Apr-19 03:05:19 pm,OffAmb
20-Apr-19 06:52:40 pm,Enabled
21-Apr-19 01:29:26 pm,OffAmb
21-Apr-19 06:34:35 pm,Enabled
22-Apr-19 10:12:23 pm,OffAmb
22-Apr-19 11:18:35 pm,Enabled
23-Apr-19 11:03:44 am,OffAmb
23-Apr-19 03:54:51 pm,Enabled
23-Apr-19 10:23:23 pm,OffAmb
23-Apr-19 10:47:15 pm,Enabled
24-Apr-19 07:01:13 pm,OffAmb
24-Apr-19 07:18:58 pm,Enabled
25-Apr-19 10:27:40 pm,OffAmb
25-Apr-19 10:47:27 pm,Enabled
28-Apr-19 12:55:09 pm,OffAmb
28-Apr-19 05:43:07 pm,Enabled
30-Apr-19 06:18:08 pm,OffAmb
30-Apr-19 06:43:42 pm,Enabled
02-May-19 10:21:46 pm,OffAmb
02-May-19 10:22:52 pm,Enabled
04-May-19 10:45:16 am,OffAmb
04-May-19 08:53:50 pm,Enabled
05-May-19 10:03:38 am,OffAmb
05-May-19 09:57:37 pm,Enabled
06-May-19 10:25:07 am,OffAmb
06-May-19 11:15:10 pm,Enabled
07-May-19 02:52:36 am,OffAmb
07-May-19 03:19:42 am,Enabled
07-May-19 10:06:24 am,OffAmb
07-May-19 10:51:31 pm,Enabled
08-May-19 09:42:13 am,OffAmb
09-May-19 12:41:27 am,Enabled
09-May-19 08:25:04 am,OffAmb
09-May-19 11:50:44 pm,Enabled
10-May-19 08:11:34 am,OffAmb
11-May-19 03:05:04 am,Enabled
11-May-19 07:53:35 am,OffAmb
12-May-19 01:43:56 am,Enabled
12-May-19 01:12:47 pm,OffAmb
12-May-19 11:18:53 pm,Enabled
13-May-19 09:46:00 am,Enabled
13-May-19 10:01:42 am,Enabled
13-May-19 01:03:30 pm,Enabled
13-May-19 05:00:19 pm,OffAmb
13-May-19 05:38:46 pm,Enabled
13-May-19 06:12:06 pm,OffAmb
13-May-19 09:54:23 pm,Enabled
13-May-19 09:59:36 pm,OffAmb
13-May-19 10:45:26 pm,Enabled
14-May-19 11:05:37 am,OffAmb
15-May-19 01:49:17 am,Enabled
15-May-19 08:50:21 am,OffAmb
17-May-19 06:41:22 am,Enabled
17-May-19 01:16:25 pm,OffAmb
17-May-19 01:42:44 pm,Enabled
18-May-19 08:54:14 am,OffAmb
18-May-19 05:41:45 pm,OffAmb
18-May-19 11:27:54 pm,Enabled
19-May-19 08:28:45 am,OffAmb
20-May-19 06:18:16 am,Enabled
20-May-19 09:29:00 am,OffAmb
20-May-19 02:55:43 pm,Enabled
20-May-19 06:19:57 pm,Enabled
20-May-19 09:53:02 pm,OffAmb
20-May-19 10:32:55 pm,Enabled
21-May-19 01:00:10 pm,OffAmb
22-May-19 12:57:00 am,Enabled
22-May-19 08:18:38 am,OffAmb
24-May-19 05:31:34 am,Enabled
24-May-19 11:47:57 am,OffAmb
24-May-19 09:55:48 pm,Enabled
25-May-19 03:12:28 pm,OffAmb
25-May-19 09:01:48 pm,Enabled
26-May-19 09:38:07 am,OffAmb
02-Jun-19 03:49:25 am,Enabled
02-Jun-19 07:29:09 am,OffAmb
03-Jun-19 04:47:14 am,Enabled
03-Jun-19 06:02:25 am,OffAmb
03-Jun-19 06:18:45 am,Enabled
03-Jun-19 01:20:54 pm,OffAmb
03-Jun-19 09:27:13 pm,Enabled
04-Jun-19 11:42:18 am,OffAmb
04-Jun-19 10:55:34 pm,Enabled
05-Jun-19 11:31:48 am,OffAmb
05-Jun-19 11:14:53 pm,Enabled
06-Jun-19 03:37:57 pm,OffAmb
06-Jun-19 03:56:29 pm,Enabled
06-Jun-19 04:32:27 pm,OffAmb
06-Jun-19 04:46:02 pm,Enabled
06-Jun-19 04:58:30 pm,OffAmb
06-Jun-19 04:59:14 pm,Enabled
06-Jun-19 05:05:11 pm,OffAmb
06-Jun-19 05:14:20 pm,Enabled
06-Jun-19 06:24:18 pm,OffAmb
06-Jun-19 07:19:22 pm,Enabled
06-Jun-19 10:15:29 pm,OffAmb
06-Jun-19 10:48:48 pm,Enabled
07-Jun-19 02:28:42 am,OffAmb
07-Jun-19 02:54:29 am,Enabled
08-Jun-19 10:56:33 am,OffAmb
08-Jun-19 10:03:14 pm,Enabled
09-Jun-19 09:02:59 am,OffAmb
09-Jun-19 10:32:24 pm,Enabled
10-Jun-19 08:43:19 am,OffAmb
12-Jun-19 11:12:29 pm,OffAmb
16-Jun-19 03:51:05 am,Enabled
16-Jun-19 07:55:53 am,OffAmb
19-Jun-19 03:28:52 am,Enabled
19-Jun-19 06:16:45 am,OffAmb
19-Jun-19 06:28:11 am,Enabled
19-Jun-19 11:47:59 am,OffAmb
19-Jun-19 10:00:46 pm,Enabled
19-Jun-19 10:17:44 pm,OffAmb
19-Jun-19 11:52:11 pm,Enabled
20-Jun-19 09:39:47 am,OffAmb
20-Jun-19 10:56:29 am,Enabled
20-Jun-19 11:46:30 am,OffAmb
20-Jun-19 11:56:34 pm,Enabled
21-Jun-19 10:32:57 am,OffAmb
25-Jun-19 12:09:35 am,Enabled
25-Jun-19 08:29:59 am,OffAmb
29-Jun-19 03:46:44 am,Enabled
29-Jun-19 07:01:59 am,OffAmb
30-Jun-19 03:22:31 am,Enabled
30-Jun-19 07:45:49 am,OffAmb
10-Jul-19 05:39:23 pm,OffAmb
20-Jul-19 12:32:52 am,Enabled
20-Jul-19 08:05:58 am,OffAmb
26-Aug-19 04:08:03 am,Enabled
26-Aug-19 08:02:27 am,OffAmb
27-Sep-19 10:08:09 am,Enabled
27-Sep-19 12:14:01 pm,OffAmb
27-Sep-19 02:10:02 pm,Enabled
27-Sep-19 02:21:11 pm,OffAmb
27-Sep-19 02:32:44 pm,Enabled
28-Sep-19 12:30:54 pm,OffAmb
28-Sep-19 04:16:06 pm,Enabled
02-Oct-19 10:11:51 pm,OffAmb
02-Oct-19 10:36:01 pm,Enabled
03-Oct-19 10:21:37 pm,OffAmb
03-Oct-19 10:51:25 pm,Enabled
04-Oct-19 04:47:15 am,OffAmb
04-Oct-19 05:12:18 am,Enabled
05-Oct-19 09:45:03 am,OffAmb
05-Oct-19 07:14:58 pm,Enabled
06-Oct-19 11:49:04 am,OffAmb
06-Oct-19 07:20:42 pm,Enabled
07-Oct-19 10:32:24 am,OffAmb
07-Oct-19 11:04:56 pm,Enabled
08-Oct-19 10:31:53 pm,OffAmb
08-Oct-19 10:44:39 pm,Enabled
12-Oct-19 02:09:26 pm,OffAmb
12-Oct-19 03:10:07 pm,Enabled
13-Oct-19 12:28:49 pm,OffAmb
13-Oct-19 03:41:15 pm,Enabled
14-Oct-19 08:31:01 pm,OffAmb
14-Oct-19 08:54:03 pm,Enabled
15-Oct-19 08:30:54 pm,OffAmb
15-Oct-19 09:25:39 pm,Enabled
16-Oct-19 11:32:37 am,OffAmb
17-Oct-19 01:46:14 am,Enabled
17-Oct-19 01:19:36 pm,OffAmb
17-Oct-19 02:38:57 pm,Enabled
17-Oct-19 10:45:51 pm,OffAmb
17-Oct-19 11:28:54 pm,Enabled
20-Oct-19 05:29:02 pm,OffAmb
20-Oct-19 06:09:26 pm,Enabled
21-Oct-19 04:03:55 pm,OffAmb
22-Oct-19 03:41:53 pm,Enabled
22-Oct-19 04:19:47 pm,OffAmb
22-Oct-19 07:32:53 pm,Enabled
22-Oct-19 10:29:41 pm,OffAmb
22-Oct-19 11:00:19 pm,Enabled
23-Oct-19 10:30:47 pm,OffAmb
23-Oct-19 10:54:26 pm,Enabled
24-Oct-19 05:39:00 pm,OffAmb
25-Oct-19 01:37:32 am,Enabled
25-Oct-19 09:26:18 am,OffAmb
25-Oct-19 12:11:59 pm,Enabled
10-Nov-19 01:55:02 pm,OffAmb
10-Nov-19 04:45:17 pm,Enabled
10-Nov-19 06:58:36 pm,OffAmb
10-Nov-19 07:24:41 pm,Enabled
11-Nov-19 09:28:11 pm,OffAmb
11-Nov-19 09:54:24 pm,Enabled
12-Nov-19 10:34:13 pm,OffAmb
12-Nov-19 11:19:23 pm,Enabled
13-Nov-19 10:28:05 pm,OffAmb
13-Nov-19 10:49:12 pm,Enabled
14-Nov-19 10:36:09 pm,OffAmb
14-Nov-19 11:03:28 pm,Enabled
15-Nov-19 11:05:17 am,OffAmb
15-Nov-19 07:54:20 pm,Enabled
16-Nov-19 08:15:12 pm,OffAmb
16-Nov-19 08:54:26 pm,Enabled
17-Nov-19 11:21:46 am,OffAmb
17-Nov-19 10:21:09 pm,Enabled
22-Nov-19 01:19:18 pm,Enabled
22-Nov-19 01:19:48 pm,Enabled
22-Nov-19 01:27:25 pm,Enabled
22-Nov-19 01:27:26 pm,Enabled
05-Dec-19 06:29:08 pm,OffAmb
05-Dec-19 06:47:55 pm,Enabled
07-Dec-19 02:31:38 am,OffAmb
07-Dec-19 02:35:22 am,Enabled
07-Dec-19 07:55:17 pm,OffAmb
07-Dec-19 08:04:10 pm,Enabled
19-Dec-19 10:16:26 pm,OffAmb
19-Dec-19 11:23:03 pm,Enabled